OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
12236,Low-Head Dam (20443),North Vernon City Dam,4.3,39.01128542,-85.61754063
12253,Low-Head Dam (14929),Deep River Dam,37.6,41.564875,-87.29394375
12268,Low-Head Dam (14683),Roberts Meadow Lower Reservoir Dam,4.8,42.35376783,-72.70763434
12283,Low-Head Dam (20311),Idols Dam,2.6,35.97431,-80.3994
12290,Low-Head Dam (20328),Deep River Dam,12.7,41.56461698,-87.29361208
12301,Low-Head Dam (21023),Springfield Water Works Intake Dam,11.5,42.11838213,-72.85742498
12304,Low-Head Dam (21030),Woronoco Mills - North Dam,10.1,42.16680625,-72.82920938
12306,Low-Head Dam (21029),Westfield River Paper Company Dam,10.2,42.18718287,-72.85068182
12359,Low-Head Dam (14745),Moordener Kill Dam,4.8,42.53455795,-73.73410886
12369,Low-Head Dam (20357),Saint Joseph River Dam,1.9,41.11252676,-85.11651431
12381,Low-Head Dam (20388),Miller Lake Dam,3.4,38.86912907,-85.52227224
12393,Low-Head Dam (18409),Clifton Mill Pond Number Two Dam D-3372,5.5,34.9791995,-81.8154076
12449,Low-Head Dam (14781),Stylus Lake Dam,13.7,44.313855,-83.930492
12475,Low-Head Dam (20439),Benton Dam,3.4,41.503562,-85.76487852
12495,Low-Head Dam (19886),Morley Ford,2.3,41.45969,-81.8217
12501,Low-Head Dam (21034),Paradise Pond Dam,4.3,42.31632138,-72.64078399
12574,Low-Head Dam (15278),Fredericktown City Dam,2.8,37.577204,-90.309048
12635,Low-Head Dam (13406),Blossom Dam,2.4,42.8536,-78.6326
12657,Low-Head Dam (22670),Broken Tank Dam,2.3,34.7349583,-110.80680929
12686,Low-Head Dam (13408),Diamond Island Diversion Dam,6.1,43.97784,-75.8854
12717,Low-Head Dam (22844),Williscraft Dam,3.6,35.18841114,-112.59378059
12759,Low-Head Dam (23870),Fort Lyon Diversion Dam,14.8,38.1174253,-103.8088145
12802,Low-Head Dam (23984),Stateline Barrier,3.2,37.0147948,-113.68054509
